Ticker,Company Name,Listing Board
AALI,Astra Agro Lestari Tbk.,Main
ABMM,ABM Investama Tbk.,Main
ACES,Aspirasi Hidup Indonesia Tbk.,Main
ADES,Akasha Wira International Tbk.,Main
ADHI,Adhi Karya (Persero) Tbk.,Main
AISA,FKS Food Sejahtera Tbk.,Main
AKRA,AKR Corporindo Tbk.,Main
ALDO,Alkindo Naratama Tbk.,Main
AMAG,Asuransi Multi Artha Guna Tbk.,Main
AMRT,Sumber Alfaria Trijaya Tbk.,Main
ANTM,ANTAM (Persero) Tbk.,Main
APLN,Agung Podomoro Land Tbk.,Main
ARNA,Arwana Citramulia Tbk.,Main
ARTO,Bank Jago Tbk.,Main
ASGR,Astra Graphia Tbk.,Main
ASII,Astra International Tbk.,Main
ASRI,Alam Sutera Realty Tbk.,Main
ASSA,Adi Sarana Armada Tbk.,Main
AUTO,Astra Otoparts Tbk.,Main
BACA,Bank Capital Indonesia Tbk.,Main
BALI,Bali Towerindo Sentra Tbk.,Main
BAYU,Bayu Buana Tbk,Main
BBCA,Bank Central Asia Tbk.,Main
BBHI,Allo Bank Indonesia Tbk.,Main
BBMD,Bank Mestika Dharma Tbk.,Main
BBNI,Bank Negara Indonesia (Persero,Main
BBRI,Bank Rakyat Indonesia (Persero,Main
BBTN,Bank Tabungan Negara (Persero),Main
BBYB,Bank Neo Commerce Tbk.,Main
BCAP,MNC Kapital Indonesia Tbk.,Main
BDMN,Bank Danamon Indonesia Tbk.,Main
BEST,Bekasi Fajar Industrial Estate,Main
BFIN,BFI Finance  Indonesia Tbk.,Main
BGTG,Bank Ganesha Tbk.,Main
BINA,Bank Ina Perdana Tbk.,Main
BIRD,Blue Bird Tbk.,Main
BISI,BISI International Tbk.,Main
BJBR,Bank Pembangunan Daerah Jawa B,Main
BJTM,Bank Pembangunan Daerah Jawa T,Main
BKSL,Sentul City Tbk.,Main
BMRI,Bank Mandiri (Persero) Tbk.,Main
BMTR,Global Mediacom Tbk.,Main
BNGA,Bank CIMB Niaga Tbk.,Main
BNII,Bank Maybank Indonesia Tbk.,Main
BNLI,Bank Permata Tbk.,Main
BRMS,Bumi Resources Minerals Tbk.,Main
BRPT,Barito Pacific Tbk.,Main
BSDE,Bumi Serpong Damai Tbk.,Main
BSIM,Bank Sinarmas Tbk.,Main
BSSR,Baramulti Suksessarana Tbk.,Main
BTPN,Bank SMBC Indonesia Tbk.,Main
BUDI,Budi Starch & Sweetener Tbk.,Main
BUMI,Bumi Resources Tbk.,Main
BVIC,Bank Victoria International Tb,Main
BWPT,Eagle High Plantations Tbk.,Main
BYAN,Bayan Resources Tbk.,Main
CASS,Cahaya Aero Services Tbk.,Main
CFIN,Clipan Finance Indonesia Tbk.,Main
CITA,Cita Mineral Investindo Tbk.,Main
CMNP,Citra Marga Nusaphala Persada,Main
CPIN,Charoen Pokphand Indonesia Tbk,Main
CTRA,Ciputra Development Tbk.,Main
DEWA,Darma Henwa Tbk,Main
DILD,Intiland Development Tbk.,Main
DKFT,Central Omega Resources Tbk.,Main
DLTA,Delta Djakarta Tbk.,Main
DMAS,Puradelta Lestari Tbk.,Main
DNET,Indoritel Makmur Internasional,Main
DSNG,Dharma Satya Nusantara Tbk.,Main
DSSA,Dian Swastatika Sentosa Tbk,Main
ELSA,Elnusa Tbk.,Main
EMTK,Elang Mahkota Teknologi Tbk.,Main
ENRG,Energi Mega Persada Tbk.,Main
EPMT,Enseval Putera Megatrading Tbk,Main
ERAA,Erajaya Swasembada Tbk.,Main
ESSA,ESSA Industries Indonesia Tbk.,Main
ESTI,Ever Shine Tex Tbk.,Main
EXCL,XLSMART Telecom Sejahtera Tbk.,Main
FISH,FKS Multi Agro Tbk.,Main
GEMS,Golden Energy Mines Tbk.,Main
GGRM,Gudang Garam Tbk.,Main
GJTL,Gajah Tunggal Tbk.,Main
GZCO,Gozco Plantations Tbk.,Main
HERO,DFI Retail Nusantara Tbk.,Main
HEXA,Hexindo Adiperkasa Tbk.,Main
HMSP,H.M. Sampoerna Tbk.,Main
HRUM,Harum Energy Tbk.,Main
ICBP,Indofood CBP Sukses Makmur Tbk,Main
IMAS,Indomobil Sukses Internasional,Main
IMPC,Impack Pratama Industri Tbk.,Main
INCO,Vale Indonesia Tbk.,Main
INDF,Indofood Sukses Makmur Tbk.,Main
INDY,Indika Energy Tbk.,Main
INKP,Indah Kiat Pulp & Paper Tbk.,Main
INPC,Bank Artha Graha Internasional,Main
INTP,Indocement Tunggal Prakarsa Tb,Main
ISAT,Indosat Tbk.,Main
ISSP,Steel Pipe Industry of Indones,Main
ITMG,Indo Tambangraya Megah Tbk.,Main
JIHD,Jakarta International Hotels &,Main
JKON,Jaya Konstruksi Manggala Prata,Main
JPFA,Japfa Comfeed Indonesia Tbk.,Main
JRPT,Jaya Real Property Tbk.,Main
JSMR,Jasa Marga (Persero) Tbk.,Main
JSPT,Jakarta Setiabudi Internasiona,Main
JTPE,Jasuindo Tiga Perkasa Tbk.,Main
KBLI,KMI Wire & Cable Tbk.,Main
KIJA,Kawasan Industri Jababeka Tbk.,Main
KKGI,Resource Alam Indonesia Tbk.,Main
KLBF,Kalbe Farma Tbk.,Main
KPIG,MNC Tourism Indonesia Tbk.,Main
LPCK,Lippo Cikarang Tbk,Main
LPKR,Lippo Karawaci Tbk.,Main
LPPF,MDS Retailing Tbk.,Main
LSIP,PP London Sumatra Indonesia Tb,Main
LTLS,Lautan Luas Tbk.,Main
MAIN,Malindo Feedmill Tbk.,Main
MAPI,Mitra Adiperkasa Tbk.,Main
MAYA,Bank Mayapada Internasional Tb,Main
MBSS,Mitrabahtera Segara Sejati Tbk,Main
MCOR,Bank China Construction Bank I,Main
MDKA,Merdeka Copper Gold Tbk.,Main
MEDC,Medco Energi Internasional Tbk,Main
MEGA,Bank Mega Tbk.,Main
MERK,Merck Tbk.,Main
MIDI,Midi Utama Indonesia Tbk.,Main
MIKA,Mitra Keluarga Karyasehat Tbk.,Main
MLBI,Multi Bintang Indonesia Tbk.,Main
